   0.00000000       1.40729797       1.11003554       1.40729797       1.11003554      -2.90685439       1.11003554      -2.90685439      -2.88633871    
   0.00000000       1.40724576       1.10997820       1.40724576       1.10997820      -2.90679193       1.10997820      -2.90679193      -2.88627362    
   0.00000000       1.40719354       1.10992086       1.40719354       1.10992086      -2.90672922       1.10992086      -2.90672922      -2.88620853    
   0.00000000       1.40714133       1.10986364       1.40714133       1.10986364      -2.90666676       1.10986364      -2.90666676      -2.88614345    
   0.00000000       1.40708911       1.10980630       1.40708911       1.10980630      -2.90660405       1.10980630      -2.90660405      -2.88607836    
   0.00000000       1.40703690       1.10974896       1.40703690       1.10974896      -2.90654159       1.10974896      -2.90654159      -2.88601303    
   0.00000000       1.40698469       1.10969162       1.40698469       1.10969162      -2.90647888       1.10969162      -2.90647888      -2.88594794    
   0.00000000       1.40693247       1.10963428       1.40693247       1.10963428      -2.90641642       1.10963428      -2.90641642      -2.88588285    
   0.00000000       1.40688026       1.10957706       1.40688026       1.10957706      -2.90635371       1.10957706      -2.90635371      -2.88581777    
   0.00000000       1.40682817       1.10951972       1.40682817       1.10951972      -2.90629101       1.10951972      -2.90629101      -2.88575244    
   0.00000000       1.40677595       1.10946238       1.40677595       1.10946238      -2.90622830       1.10946238      -2.90622830      -2.88568735    
   0.00000000       1.40672374       1.10940516       1.40672374       1.10940516      -2.90616584       1.10940516      -2.90616584      -2.88562226    
   0.00000000       1.40667152       1.10934782       1.40667152       1.10934782      -2.90610313       1.10934782      -2.90610313      -2.88555694    
   0.00000000       1.40661943       1.10929060       1.40661943       1.10929060      -2.90604043       1.10929060      -2.90604043      -2.88549185    
   0.00000000       1.40656722       1.10923326       1.40656722       1.10923326      -2.90597773       1.10923326      -2.90597773      -2.88542652    
   0.00000000       1.40651500       1.10917592       1.40651500       1.10917592      -2.90591502       1.10917592      -2.90591502      -2.88536143    
   0.00000000       1.40646291       1.10911870       1.40646291       1.10911870      -2.90585232       1.10911870      -2.90585232      -2.88529611    
   0.00000000       1.40641069       1.10906148       1.40641069       1.10906148      -2.90578961       1.10906148      -2.90578961      -2.88523102    
   0.00000000       1.40635848       1.10900414       1.40635848       1.10900414      -2.90572691       1.10900414      -2.90572691      -2.88516569    
   0.00000000       1.40630639       1.10894692       1.40630639       1.10894692      -2.90566421       1.10894692      -2.90566421      -2.88510060    
   0.00000000       1.40625417       1.10888958       1.40625417       1.10888958      -2.90560150       1.10888958      -2.90560150      -2.88503528    
   0.00000000       1.40620208       1.10883236       1.40620208       1.10883236      -2.90553880       1.10883236      -2.90553880      -2.88496995    
   0.00000000       1.40614986       1.10877514       1.40614986       1.10877514      -2.90547609       1.10877514      -2.90547609      -2.88490462    
   0.00000000       1.40609777       1.10871780       1.40609777       1.10871780      -2.90541315       1.10871780      -2.90541315      -2.88483953    
   0.00000000       1.40604556       1.10866058       1.40604556       1.10866058      -2.90535045       1.10866058      -2.90535045      -2.88477421    
   0.00000000       1.40599346       1.10860336       1.40599346       1.10860336      -2.90528774       1.10860336      -2.90528774      -2.88470888    
   0.00000000       1.40594125       1.10854614       1.40594125       1.10854614      -2.90522504       1.10854614      -2.90522504      -2.88464355    
   0.00000000       1.40588915       1.10848892       1.40588915       1.10848892      -2.90516210       1.10848892      -2.90516210      -2.88457823    
   0.00000000       1.40583694       1.10843170       1.40583694       1.10843170      -2.90509939       1.10843170      -2.90509939      -2.88451290    
   0.00000000       1.40578485       1.10837436       1.40578485       1.10837436      -2.90503645       1.10837436      -2.90503645      -2.88444757    
   0.00000000       1.40573275       1.10831714       1.40573275       1.10831714      -2.90497375       1.10831714      -2.90497375      -2.88438225    
   0.00000000       1.40568054       1.10825992       1.40568054       1.10825992      -2.90491080       1.10825992      -2.90491080      -2.88431692    
   0.00000000       1.40562844       1.10820270       1.40562844       1.10820270      -2.90484810       1.10820270      -2.90484810      -2.88425159    
   0.00000000       1.40557635       1.10814548       1.40557635       1.10814548      -2.90478516       1.10814548      -2.90478516      -2.88418627    
   0.00000000       1.40552425       1.10808825       1.40552425       1.10808825      -2.90472245       1.10808825      -2.90472245      -2.88412094    
   0.00000000       1.40547204       1.10803103       1.40547204       1.10803103      -2.90465951       1.10803103      -2.90465951      -2.88405561    
   0.00000000       1.40541995       1.10797393       1.40541995       1.10797393      -2.90459657       1.10797393      -2.90459657      -2.88399029    
   0.00000000       1.40536785       1.10791671       1.40536785       1.10791671      -2.90453386       1.10791671      -2.90453386      -2.88392496    
   0.00000000       1.40531576       1.10785949       1.40531576       1.10785949      -2.90447092       1.10785949      -2.90447092      -2.88385940    
   0.00000000       1.40526366       1.10780227       1.40526366       1.10780227      -2.90440798       1.10780227      -2.90440798      -2.88379407    
   0.00000000       1.40521145       1.10774505       1.40521145       1.10774505      -2.90434504       1.10774505      -2.90434504      -2.88372874    
   0.00000000       1.40515935       1.10768795       1.40515935       1.10768795      -2.90428209       1.10768795      -2.90428209      -2.88366318    
   0.00000000       1.40510726       1.10763073       1.40510726       1.10763073      -2.90421939       1.10763073      -2.90421939      -2.88359785    
   0.00000000       1.40505517       1.10757351       1.40505517       1.10757351      -2.90415645       1.10757351      -2.90415645      -2.88353252    
   0.00000000       1.40500307       1.10751641       1.40500307       1.10751641      -2.90409350       1.10751641      -2.90409350      -2.88346696    
   0.00000000       1.40495098       1.10745919       1.40495098       1.10745919      -2.90403056       1.10745919      -2.90403056      -2.88340163    
   0.00000000       1.40489888       1.10740197       1.40489888       1.10740197      -2.90396762       1.10740197      -2.90396762      -2.88333607    
