 -2  5      -1  2 -3       0  1 -2     1 -2  3    -2  3 -4
               (0.0000000000000000,0.0000000000000000)             (-91.164948064556654,-306.34790747690613)              (-10.960349754487282,451.31646847934826)             (-303.34783749382359,-161.54954288430861)             (-106.50707041268493,-110.74811446151080)              (-939.27502609892781,265.68554256331265)               (416.09099671267404,88.427683712153055)              (-155.87175091703341,148.82036376603980)              (674.74997157621647,-672.83684218550025)
               (0.0000000000000000,0.0000000000000000)             (-91.120064527561624,-306.35170245268819)              (-11.120269054118367,451.21685671116825)             (-303.32890840995651,-161.61413526611830)             (-106.42472550839557,-110.78899570871147)              (-939.25781748371674,265.70202249594161)               (415.93885664181562,88.642491730954418)              (-155.86654594371362,148.82201321908110)              (674.79814680626669,-672.88728847691254)
               (0.0000000000000000,0.0000000000000000)             (-91.088112011163560,-306.36192538850923)              (-11.238646583586899,451.14590790872444)             (-303.32865995255315,-161.66726575470386)             (-106.36848598660845,-110.81991230590666)              (-939.19005370201512,265.77632665163821)               (415.83458430202018,88.794454409648523)              (-155.84496881128860,148.82997865655273)              (674.92822056482555,-673.00835216635096)
               (0.0000000000000000,0.0000000000000000)             (-91.074244902461999,-306.36912844665494)              (-11.311514582899017,451.10447152326242)             (-303.33352469476085,-161.69307054027036)             (-106.33742828912068,-110.83960409689450)              (-939.06002989472927,265.93487408278509)               (415.77807518528925,88.882193855848755)              (-155.80137546658761,148.84763978885667)              (675.11686014868246,-673.15735673500330)
               (0.0000000000000000,0.0000000000000000)             (-91.081013307481385,-306.36403206294176)              (-11.342414866048308,451.08804332735053)             (-303.32814877212468,-161.67867172794240)             (-106.32624781840627,-110.84846113739593)              (-938.86506118786156,266.19130920398925)               (415.75921685305184,88.916661856212386)              (-155.73287875043138,148.87710615579817)              (675.32959363924874,-673.28968000898521)
               (0.0000000000000000,0.0000000000000000)             (-90.932480976415292,-306.13130944557815)              (-11.199032062054670,450.92588808445566)             (-303.03855566201491,-161.87932893302968)             (-106.32750390956767,-110.85420537704022)              (-939.30977027870495,264.58102830803443)               (414.93110131611502,87.627654496152900)              (-155.16381592092864,148.41591213852701)              (671.62744567590562,-670.98123013544136)
               (0.0000000000000000,0.0000000000000000)             (-90.887416722756882,-306.13458235509916)              (-11.358713669796273,450.82537515113791)             (-303.01842873123178,-161.94394391437038)             (-106.24471514116658,-110.89481904334787)              (-939.29235391297561,264.59821241020290)               (414.77841656008877,87.842126338238018)              (-155.15850862285924,148.41767624271142)              (671.67720031613180,-671.03309884108467)
               (0.0000000000000000,0.0000000000000000)             (-90.855299377986057,-306.14427604882758)              (-11.477128668722891,450.75359124914166)             (-303.01702005808147,-161.99703609834114)             (-106.18785496338865,-110.92559861792790)              (-939.22538963359193,264.67407406533914)               (414.67311679118393,87.994362699276820)              (-155.13697955000566,148.42599578006457)              (671.80934463028279,-671.15564933892256)
               (0.0000000000000000,0.0000000000000000)             (-90.841487492595320,-306.15110326833587)              (-11.550112538860734,450.71154869004658)             (-303.02118919026043,-162.02252545174611)             (-106.15635552911203,-110.94526088792509)              (-939.09770040569811,264.83514103602124)               (414.61590964105244,88.082479789749755)              (-155.09368410783111,148.44431077142292)              (672.00059548230138,-671.30659258184642)
               (0.0000000000000000,0.0000000000000000)             (-90.848708711706763,-306.14592911744921)              (-11.580982982855607,450.69487834156052)             (-303.01596397647063,-162.00735193659216)             (-106.14496337798141,-110.95408902368592)              (-938.90689951282366,265.09500398875571)               (414.59669416991119,88.117115925113410)              (-155.02579961834465,148.47474608094853)              (672.21645065464099,-671.44163878485460)
