  0.459350010613E+00  0.336184376715E+01  0.408805158609E+01  0.372520034217E+01
  0.459378153611E+00  0.335902935458E+01  0.408651538358E+01  0.371335045297E+01
  0.459406296608E+00  0.335620554828E+01  0.408497583394E+01  0.370146693810E+01
  0.459434439606E+00  0.335337230594E+01  0.408343290711E+01  0.368954971789E+01
  0.459462582604E+00  0.335052958465E+01  0.408188657331E+01  0.367759871588E+01
  0.459490725602E+00  0.334767734088E+01  0.408033680307E+01  0.366561385891E+01
  0.459518868600E+00  0.334481553049E+01  0.407878356723E+01  0.365359507725E+01
  0.459547011598E+00  0.334194410868E+01  0.407722683697E+01  0.364154230470E+01
  0.459575154595E+00  0.333906303001E+01  0.407566658377E+01  0.362945547872E+01
  0.459603297593E+00  0.333617224836E+01  0.407410277948E+01  0.361733454051E+01
  0.459631440591E+00  0.333327171695E+01  0.407253539625E+01  0.360517943521E+01
  0.459659583589E+00  0.333036138828E+01  0.407096440662E+01  0.359299011195E+01
  0.459687726587E+00  0.332744121416E+01  0.406938978346E+01  0.358076652403E+01
  0.459715869585E+00  0.332451114567E+01  0.406781150002E+01  0.356850862903E+01
  0.459744012582E+00  0.332157113317E+01  0.406622952989E+01  0.355621638897E+01
  0.459772155580E+00  0.331862112626E+01  0.406464384706E+01  0.354388977043E+01
  0.459800298578E+00  0.331566107378E+01  0.406305442588E+01  0.353152874471E+01
  0.459828441576E+00  0.331269092379E+01  0.406146124111E+01  0.351913328797E+01
  0.459856584574E+00  0.330971062360E+01  0.405986426785E+01  0.350670338143E+01
  0.459884727571E+00  0.330672011967E+01  0.405826348165E+01  0.349423901145E+01
  0.459912870569E+00  0.330371935767E+01  0.405665885842E+01  0.348174016979E+01
  0.459941013567E+00  0.330070828246E+01  0.405505037448E+01  0.346920685369E+01
  0.459969156565E+00  0.329768683803E+01  0.405343800657E+01  0.345663906613E+01
  0.459997299563E+00  0.329465496754E+01  0.405182173181E+01  0.344403681595E+01
  0.460025442561E+00  0.329161261328E+01  0.405020152776E+01  0.343140011809E+01
  0.460053585558E+00  0.328855971667E+01  0.404857737238E+01  0.341872899371E+01
  0.460081728556E+00  0.328549621821E+01  0.404694924406E+01  0.340602347048E+01
  0.460109871554E+00  0.328242205755E+01  0.404531712161E+01  0.339328358273E+01
  0.460138014552E+00  0.327933717337E+01  0.404368098424E+01  0.338050937167E+01
  0.460166157550E+00  0.327624150345E+01  0.404204081161E+01  0.336770088564E+01
  0.460194300548E+00  0.327313498463E+01  0.404039658381E+01  0.335485818030E+01
  0.460222443545E+00  0.327001755279E+01  0.403874828135E+01  0.334198131887E+01
  0.460250586543E+00  0.326688914284E+01  0.403709588516E+01  0.332907037244E+01
  0.460278729541E+00  0.326374968872E+01  0.403543937662E+01  0.331612542011E+01
  0.460306872539E+00  0.326059912338E+01  0.403377873753E+01  0.330314654936E+01
  0.460335015537E+00  0.325743737876E+01  0.403211395013E+01  0.329013385623E+01
  0.460363158535E+00  0.325426438578E+01  0.403044499707E+01  0.327708744565E+01
  0.460391301532E+00  0.325108007434E+01  0.402877186148E+01  0.326400743176E+01
  0.460419444530E+00  0.324788437331E+01  0.402709452688E+01  0.325089393810E+01
  0.460447587528E+00  0.324467721049E+01  0.402541297723E+01  0.323774709803E+01
  0.460475730526E+00  0.324145851261E+01  0.402372719693E+01  0.322456705500E+01
  0.460503873524E+00  0.323822820534E+01  0.402203717081E+01  0.321135396286E+01
  0.460532016522E+00  0.323498621325E+01  0.402034288413E+01  0.319810798626E+01
  0.460560159519E+00  0.323173245981E+01  0.401864432257E+01  0.318482930096E+01
  0.460588302517E+00  0.322846686739E+01  0.401694147224E+01  0.317151809422E+01
  0.460616445515E+00  0.322518935720E+01  0.401523431967E+01  0.315817456515E+01
  0.460644588513E+00  0.322189984936E+01  0.401352285181E+01  0.314479892513E+01
  0.460672731511E+00  0.321859826278E+01  0.401180705604E+01  0.313139139824E+01
  0.460700874509E+00  0.321528451527E+01  0.401008692016E+01  0.311795222163E+01
  0.460729017506E+00  0.321195852342E+01  0.400836243235E+01  0.310448164598E+01
  0.460757160504E+00  0.320862020266E+01  0.400663358124E+01  0.309097993598E+01
  0.460785303502E+00  0.320526946719E+01  0.400490035585E+01  0.307744737075E+01
  0.460813446500E+00  0.320190623004E+01  0.400316274560E+01  0.306388424437E+01
  0.460841589498E+00  0.319853040299E+01  0.400142074031E+01  0.305029086638E+01
  0.460869732496E+00  0.319514189659E+01  0.399967433020E+01  0.303666756226E+01
  0.460897875493E+00  0.319174062015E+01  0.399792350588E+01  0.302301467405E+01
  0.460926018491E+00  0.318832648171E+01  0.399616825835E+01  0.300933256081E+01
  0.460954161489E+00  0.318489938805E+01  0.399440857898E+01  0.299562159931E+01
  0.460982304487E+00  0.318145924467E+01  0.399264445954E+01  0.298188218456E+01
  0.461010447485E+00  0.317800595574E+01  0.399087589214E+01  0.296811473048E+01
  0.461038590483E+00  0.317453942418E+01  0.398910286929E+01  0.295431967050E+01
  0.461066733480E+00  0.317105955154E+01  0.398732538385E+01  0.294049745828E+01
  0.461094876478E+00  0.316756623807E+01  0.398554342901E+01  0.292664856840E+01
  0.461123019476E+00  0.316405938266E+01  0.398375699836E+01  0.291277349706E+01
  0.461151162474E+00  0.316053888285E+01  0.398196608580E+01  0.289887276287E+01
  0.461179305472E+00  0.315700463480E+01  0.398017068556E+01  0.288494690758E+01
  0.461207448470E+00  0.315345653332E+01  0.397837079224E+01  0.287099649693E+01
  0.461235591467E+00  0.314989447178E+01  0.397656640074E+01  0.285702212145E+01
