 -0.440088993755E+06  0.650272541106E-09
 -0.337900225423E+06  0.332781019565E-09
 -0.337900097179E+06  0.418003994709E-09
 -0.304149525461E+06  0.301853078731E-09
 -0.202800035935E+06  0.102612279188E-09
 -0.202799977154E+06  0.152894502608E-09
 -0.172532979213E+06  0.128496901269E-09
 -0.172532850872E+06  0.173228982286E-09
 -0.172532429742E+06  0.866263934335E-10
 -0.117979631854E+06  0.176912175171E-09
 -0.994525642373E+05  0.991621282123E-10
 -0.994524360301E+05  0.125988373363E-09
 -0.836554686324E+05  0.858364452452E-10
 -0.772223971998E+05  0.395535079884E-10
 -0.772218478901E+05  0.209554383641E-10
 -0.671309704346E+05  0.361375558256E-10
 -0.671309109701E+05  0.572058904701E-10
 -0.629683105562E+05  0.186816589908E-10
 -0.629682514502E+05  0.347149654773E-10
 -0.539093989977E+05  0.413325636616E-10
 -0.539092703827E+05  0.570026007926E-10
 -0.539088545554E+05  0.285238397917E-10
 -0.526516694674E+05  0.808993502686E-10
 -0.488666793717E+05  0.496011215431E-10
 -0.488665512555E+05  0.640299725952E-10
 -0.432963034955E+05  0.229359740453E-10
 -0.432957589939E+05  0.127171939843E-10
 -0.399058532252E+05  0.429599258942E-10
 -0.372625992206E+05  0.215068787915E-10
 -0.372625384152E+05  0.311916602729E-10
 -0.342628954141E+05  0.103645998627E-10
 -0.342628352305E+05  0.194402302658E-10
 -0.306352909624E+05  0.485225310066E-10
 -0.304313584559E+05  0.297615711122E-10
 -0.304312304018E+05  0.394774111670E-10
 -0.298689053097E+05  0.232100188207E-10
 -0.298687759312E+05  0.333965552881E-10
 -0.298683657080E+05  0.165535040786E-10
 -0.273248289844E+05  0.150875492950E-10
 -0.273242884063E+05  0.880983227119E-11
 -0.245696066095E+05  0.279012026689E-10
 -0.243134370341E+05  0.151538199661E-10
 -0.243133748090E+05  0.221319271739E-10
 -0.213754140655E+05  0.961854583619E-11
 -0.213753525695E+05  0.151498159051E-10
 -0.201606997878E+05  0.216670363625E-10
 -0.201605715427E+05  0.290322378340E-10
 -0.198325686697E+05  0.326076902235E-10
 -0.192989535210E+05  0.183026676946E-10
 -0.192988229754E+05  0.232752134443E-10
 -0.192984166935E+05  0.118603688594E-10
 -0.182282355727E+05  0.109241052491E-10
 -0.182276964947E+05  0.664386391523E-11
 -0.160165562974E+05  0.194879843094E-10
 -0.160076754778E+05  0.110602492085E-10
 -0.160076120379E+05  0.155403503396E-10
 -0.139031098712E+05  0.665040841564E-11
 -0.139030474192E+05  0.105917970109E-10
 -0.131434856865E+05  0.145734435074E-10
 -0.131433567038E+05  0.203118057508E-10
 -0.128157010380E+05  0.221261615767E-10
 -0.123871308931E+05  0.106698513790E-10
 -0.123869988395E+05  0.162950037034E-10
 -0.123865954141E+05  0.825747593488E-11
 -0.116922759078E+05  0.731629193529E-11
