  0.396059000000E+00  0.158981439664E+02  0.305694240760E+02  0.295537514246E+02
  0.396115000000E+00  0.160245078391E+02  0.307609726831E+02  0.289856003158E+02
  0.396171000000E+00  0.162209417840E+02  0.309220238344E+02  0.284940349676E+02
  0.396227000000E+00  0.165003186390E+02  0.310871737904E+02  0.280589690652E+02
  0.396282000000E+00  0.168603803133E+02  0.312895853734E+02  0.276610489858E+02
  0.396338000000E+00  0.173117456991E+02  0.315715797337E+02  0.272586305679E+02
  0.396394000000E+00  0.178391341899E+02  0.319585496372E+02  0.268342000347E+02
  0.396449000000E+00  0.184156975480E+02  0.324570601841E+02  0.263762114398E+02
  0.396504000000E+00  0.190300835554E+02  0.330743573962E+02  0.258629818118E+02
  0.396560000000E+00  0.196705703925E+02  0.338103433803E+02  0.252740899147E+02
  0.396616000000E+00  0.203021082021E+02  0.346260513925E+02  0.246142122784E+02
  0.396672000000E+00  0.209051542893E+02  0.354839660283E+02  0.238851195877E+02
  0.396727000000E+00  0.214589911054E+02  0.363296772464E+02  0.231083596731E+02
  0.396783000000E+00  0.219830601667E+02  0.371596818208E+02  0.222654677729E+02
  0.396839000000E+00  0.224754932465E+02  0.379316885178E+02  0.213796375662E+02
  0.396894000000E+00  0.229420379117E+02  0.386153545141E+02  0.204733591413E+02
  0.396949000000E+00  0.234053998134E+02  0.392126974061E+02  0.195305470337E+02
  0.397005000000E+00  0.238831104483E+02  0.397216337121E+02  0.185258701511E+02
  0.397061000000E+00  0.243671171745E+02  0.401192060869E+02  0.174640627852E+02
  0.397116000000E+00  0.248383729064E+02  0.403889870934E+02  0.163530378748E+02
  0.397172000000E+00  0.252935504642E+02  0.405279191069E+02  0.151432908052E+02
  0.397228000000E+00  0.256963627262E+02  0.405192422363E+02  0.138529821232E+02
  0.397284000000E+00  0.260174565582E+02  0.403579569621E+02  0.124910103378E+02
  0.397339000000E+00  0.262288751451E+02  0.400542085173E+02  0.111019154119E+02
  0.397394000000E+00  0.263218639889E+02  0.396182282114E+02  0.968692582605E+01
  0.397450000000E+00  0.262905310362E+02  0.390580901605E+02  0.824881278963E+01
  0.397506000000E+00  0.261393375645E+02  0.384050758629E+02  0.684294445762E+01
  0.397562000000E+00  0.258850560921E+02  0.376843875292E+02  0.549770911821E+01
  0.397617000000E+00  0.255567199631E+02  0.369323694971E+02  0.426464050295E+01
  0.397673000000E+00  0.251662043158E+02  0.361387077508E+02  0.314315446581E+01
  0.397729000000E+00  0.247413233977E+02  0.353280620287E+02  0.225544948838E+01
  0.397784000000E+00  0.243085123037E+02  0.345209708511E+02  0.182872923777E+01
  0.397839000000E+00  0.238731942919E+02  0.337046896853E+02  0.202954687510E+01
  0.397895000000E+00  0.234356338717E+02  0.328637241393E+02  0.266490504582E+01
  0.397951000000E+00  0.230078034386E+02  0.320123114552E+02  0.345364969777E+01
  0.398007000000E+00  0.225904133178E+02  0.311514391952E+02  0.427071908322E+01
  0.398062000000E+00  0.221892564051E+02  0.303000014306E+02  0.505396720686E+01
  0.398118000000E+00  0.217872617612E+02  0.294327611792E+02  0.581068740155E+01
  0.398174000000E+00  0.213889795942E+02  0.285727127762E+02  0.651569579474E+01
  0.398229000000E+00  0.209989230777E+02  0.277429809755E+02  0.715305150779E+01
  0.398284000000E+00  0.206080487979E+02  0.269354758634E+02  0.773489535375E+01
  0.398340000000E+00  0.202080184335E+02  0.261424140361E+02  0.827218027025E+01
  0.398396000000E+00  0.198056061773E+02  0.253832812501E+02  0.875789736287E+01
  0.398451000000E+00  0.194087126161E+02  0.246732338338E+02  0.919006392447E+01
  0.398507000000E+00  0.190045336017E+02  0.239872036261E+02  0.959048716796E+01
  0.398563000000E+00  0.186027849049E+02  0.233377214739E+02  0.995714506766E+01
  0.398619000000E+00  0.182066230305E+02  0.227230141894E+02  0.102957964517E+02
  0.398674000000E+00  0.178263609609E+02  0.221508039583E+02  0.106058991724E+02
  0.398729000000E+00  0.174581951194E+02  0.216072975986E+02  0.108973834514E+02
  0.398785000000E+00  0.170989112720E+02  0.210808624338E+02  0.111777014877E+02
  0.398841000000E+00  0.167579795269E+02  0.205793433777E+02  0.114430142579E+02
  0.398896000000E+00  0.164428400590E+02  0.201092409730E+02  0.116896248187E+02
  0.398952000000E+00  0.161430619059E+02  0.196521238956E+02  0.119264319788E+02
  0.399008000000E+00  0.158647218527E+02  0.192158418057E+02  0.121483029918E+02
  0.399064000000E+00  0.156071316847E+02  0.187998545093E+02  0.123545548546E+02
  0.399119000000E+00  0.153729471519E+02  0.184107353705E+02  0.125413664508E+02
  0.399175000000E+00  0.151516366974E+02  0.180340790020E+02  0.127152888676E+02
  0.399230000000E+00  0.149487235089E+02  0.176830282455E+02  0.128703198598E+02
  0.399286000000E+00  0.147541635778E+02  0.173443522704E+02  0.130128192423E+02
  0.399342000000E+00  0.145690432908E+02  0.170239378931E+02  0.131410446108E+02
  0.399397000000E+00  0.143939497773E+02  0.167261788757E+02  0.132546471867E+02
  0.399453000000E+00  0.142203515821E+02  0.164392153664E+02  0.133595961483E+02
  0.399509000000E+00  0.140497723357E+02  0.161674305067E+02  0.134556745453E+02
  0.399564000000E+00  0.138840616020E+02  0.159140453548E+02  0.135432298523E+02
  0.399620000000E+00  0.137166264112E+02  0.156685619136E+02  0.136270994456E+02
  0.399675000000E+00  0.135534076293E+02  0.154385089343E+02  0.137055962525E+02
  0.399731000000E+00  0.133888714429E+02  0.152143120252E+02  0.137825308563E+02
  0.399786000000E+00  0.132296022169E+02  0.150028936681E+02  0.138556843851E+02
